344,280,2
320,236,8
292,260,16
276,132,10
292,264,28
396,456,4
276,136,4
148,452,2
292,268,50
628,620,2
508,300,2
428,152,2
392,260,2
164,92,82
92,80,148
524,436,4
444,288,2
164,96,84
92,84,170
392,268,2
92,88,202
128,140,170
16,52,4
104,100,190
1064,796,2
128,144,202
16,56,2
120,232,24
104,104,212
572,420,4
144,276,2
128,148,198
120,236,12
104,108,208
492,272,18
504,124,4
544,296,2
272,400,2
204,100,20
324,420,4
48,236,2
324,424,6
204,104,16
220,232,28
272,408,2
296,452,4
348,472,2
244,280,10
192,260,6
176,132,50
220,236,10
228,152,20
204,108,16
348,476,2
296,456,4
228,156,16
244,284,8
176,136,44
192,268,34
244,288,2
236,44,2
96,220,6
332,92,2
328,152,2
96,224,14
60,180,2
620,268,2
20,40,24
304,112,2
372,412,2
320,240,6
424,432,6
448,476,4
332,96,4
60,184,2
96,228,6
320,244,4
424,436,2
20,44,10
304,116,2
276,140,6
372,416,2
396,460,6
60,188,12
20,48,4
292,272,14
276,144,2
320,248,8
396,468,2
276,148,4
344,296,2
292,276,8
728,184,2
772,444,8
148,464,2
376,140,2
352,100,2
772,448,8
148,468,2
444,292,20
592,744,2
420,252,6
444,296,2
548,488,2
92,92,244
328,612,2
472,428,2
524,448,2
92,96,292
144,280,2
128,152,114
120,240,26
104,112,178
196,456,2
128,156,128
224,436,2
120,244,12
104,116,268
492,280,4
608,324,2
452,112,4
600,412,4
120,248,8
48,240,2
452,116,2
572,436,2
308,300,12
48,244,6
324,432,2
220,240,22
308,304,18
204,112,24
24,208,2
272,416,2
176,140,28
220,244,8
308,308,14
228,160,16
204,116,16
192,272,16
348,484,4
244,292,6
176,144,48
220,248,12
228,164,18
708,332,2
672,440,2
348,488,2
192,276,8
244,296,4
176,148,70
228,168,20
328,160,6
96,232,6
424,440,6
408,312,2
700,428,4
400,400,26
160,876,4
96,236,14
424,444,10
20,52,4
252,104,8
648,956,2
400,404,2
328,168,2
20,56,4
304,128,2
252,108,24
292,280,6
372,428,4
276,152,10
320,256,6
292,284,6
276,156,4
108,300,2
148,472,2
292,288,6
1200,72,40
108,304,6
456,300,2
124,436,2
108,308,2
392,280,2
420,260,2
472,432,2
592,752,2
500,412,2
376,156,2
420,264,8
472,436,2
208,300,16
524,456,2
500,416,2
392,288,4
420,268,4
328,628,6
208,308,10
128,160,114
1076,816,2
224,440,4
104,120,300
196,464,2
128,164,138
16,76,2
224,444,2
120,252,4
104,124,262
128,168,46
224,448,4
120,256,6
104,128,246
492,292,2
504,144,2
48,252,4
520,276,2
324,440,2
272,420,6
152,100,80
308,312,14
204,120,26
300,400,6
64,384,4
48,256,2
324,444,4
308,316,4
220,252,10
152,104,86
204,124,24
300,404,2
64,388,4
192,280,2
272,428,4
324,448,2
296,472,2
228,172,24
176,152,72
220,256,4
152,108,74
204,128,28
300,408,2
656,320,8
176,156,56
228,176,16
192,284,8
656,324,6
700,432,4
192,288,12
96,240,6
68,12,24
656,328,2
408,320,2
356,300,10
72,200,4
160,884,6
236,68,2
96,244,2
328,172,2
68,16,6
304,132,4
252,112,24
648,964,2
320,260,8
356,304,6
72,204,14
160,888,8
96,248,2
328,176,6
304,136,6
320,264,4
408,328,2
356,308,4
276,160,12
252,116,14
276,164,16
292,292,10
292,296,4
276,168,4
124,440,2
108,312,2
1028,836,2
108,316,10
508,332,2
392,292,2
456,316,2
240,40,2
524,464,2
472,444,2
392,296,2
208,312,4
620,748,2
208,316,4
156,300,2
128,172,84
156,304,4
120,260,4
104,132,260
608,340,2
128,176,92
104,136,214
skill\地蕴五毒89303\地蕴五毒89303.fsi,,38
120,268,2
376,620,2
256,300,2
308,320,16
376,624,2
256,304,8
272,432,2
324,452,2
308,324,4
152,112,146
204,132,20
220,260,16
300,412,8
376,628,2
272,436,2
324,456,8
308,328,10
152,116,100
